Idiom ID,English Idiom,English Sentence,Urdu Native Idiom,Target A (Native Idiomatic),Target B (Native Descriptive),Target C (Native Literal),Roman Urdu Idiom,Target A (Roman Idiomatic),Target B (Roman Descriptive),Target C (Roman Literal)
1,a fish out of water,"When I moved to the big city, I felt like a fish out of water.",جل بن مچھلی,جب میں بڑے شہر میں منتقل ہوا تو میں خود کو جل بن مچھلی محسوس کر رہا تھا۔,جب میں بڑے شہر میں آیا تو مجھے بہت اجنبیت اور بےچینی محسوس ہوئی کیونکہ میں اس ماحول کا عادی نہیں تھا۔,جب میں بڑے شہر میں منتقل ہوا تو میں نے خود کو پانی سے باہر مچھلی کی طرح محسوس کیا۔,Jal bin machli,Jab main bare shehar mein muntaqil hua to main khud ko Jal bin machli mehsoos kar raha tha.,Jab main bare shehar mein aaya to mujhe bohat ajnabiyat aur bechaini mehsoos hui kyunke main us mahaul ka aadi nahi tha.,Jab main bare shehar mein muntaqil hua to maine khud ko pani se bahar machhli ki tarah mehsoos kiya.
2,a piece of cake,Completing this project will be a piece of cake for our experienced team.,بائیں ہاتھ کا کھیل,یہ منصوبہ مکمل کرنا ہماری تجربہ کار ٹیم کے لیے بائیں ہاتھ کا کھیل ہوگا۔,یہ منصوبہ مکمل کرنا ہماری تجربہ کار ٹیم کے لیے بہت آسان کام ہوگا۔,یہ منصوبہ مکمل کرنا ہماری تجربہ کار ٹیم کے لیے کیک کا ٹکڑا ہوگا۔,Baayein haath ka khel,Yeh mansooba mukammal karna hamari tajurba kar team ke liye Baayein haath ka khel hoga.,Yeh mansooba mukammal karna hamari tajurba kar team ke liye bohat aasan kaam hoga.,Yeh mansooba mukammal karna hamari tajurba kar team ke liye cake ka tukra hoga.
3,add fuel to the fire,His comments during the meeting only added fuel to the fire of the ongoing debate.,جلتی پر تیل ڈالنا,میٹنگ کے دوران اس کے تبصروں نے جاری بحث کی آگ پر جلتی پر تیل ڈالنے کا کام کیا۔,میٹنگ کے دوران اس کے تبصروں نے جاری بحث کو مزید بگاڑ دیا۔,میٹنگ کے دوران اس کے تبصروں نے آگ میں ایندھن ڈال دیا۔,Jalti par tel daalna,Meeting ke dauran us ke tabsaron ne jari behas ki aag par Jalti par tel daalna ka kaam kiya.,Meeting ke dauran us ke tabsaron ne jari behas ko mazeed bigaad diya.,Meeting ke dauran us ke tabsaron ne aag mein eendhan daal diya.
4,go against the grain,Choosing to work late on a Friday night really goes against the grain for me.,گنگا الٹی بہنا,جمعہ کی رات دیر تک کام کرنے کا انتخاب میرے لیے واقعی گنگا الٹی بہنا ہے۔,جمعہ کی رات دیر تک کام کرنے کا انتخاب میرے فطری رجحان کے خلاف ہے۔,جمعہ کی رات دیر تک کام کرنا واقعی اناج کے خلاف جانا ہے۔,Ganga ulti behna,Jumma ki raat der tak kaam karne ka intikhab mere liye waqai Ganga ulti behna hai.,Jumma ki raat der tak kaam karne ka intikhab mere fitri rujhan ke khilaf hai.,Jumma ki raat der tak kaam karna waqai anaaj ke khilaf jana hai.
5,armed to the teeth,The soldiers were armed to the teeth as they prepared for the mission.,سر سے پاؤں تک مسلح,سپاہی مشن کی تیاری کرتے وقت سر سے پاؤں تک مسلح تھے۔,سپاہی مشن کی تیاری کرتے وقت مکمل طور پر ہتھیاروں سے لیس تھے۔,سپاہی مشن کی تیاری کرتے وقت دانتوں تک مسلح تھے۔,Sar se paon tak musallah,Sipahi mission ki tayyari karte waqt Sar se paon tak musallah thay.,Sipahi mission ki tayyari karte waqt mukammal tor par hathiyaron se lais thay.,Sipahi mission ki tayyari karte waqt daanton tak musallah thay.
6,like two peas in a pod,"Despite their different backgrounds, the twins are like two peas in a pod.",ایک ہی سانچے کے ڈھلے ہوئے,"مختلف پس منظر ہونے کے باوجود، جڑواں بچے ایک ہی سانچے کے ڈھلے ہوئے ہیں۔","مختلف پس منظر ہونے کے باوجود، جڑواں بچے بالکل ایک جیسے ہیں۔","مختلف پس منظر ہونے کے باوجود، جڑواں بچے ایسے ہیں جیسے ایک پھلی میں دو مٹر کے دانے۔",Ek hi saanche ke dhale hue,"Mukhtalif pas manzar hone ke bawajood, judwaan bachay Ek hi saanche ke dhale hue hain.","Mukhtalif pas manzar hone ke bawajood, judwaan bachay bilkul aik jaise hain.","Mukhtalif pas manzar hone ke bawajood, judwaan bachay aisay hain jaise aik phali mein do matar ke danay."
7,be at the back of one's mind,"Even though I didn't say anything, the concern about her health was always at the back of my mind.",ذہن کے کسی کونے میں ہونا,"اگرچہ میں نے کچھ نہیں کہا، لیکن اس کی صحت کی فکر ہمیشہ میرے ذہن کے کسی کونے میں تھی۔","اگرچہ میں نے کچھ نہیں کہا، لیکن اس کی صحت کی فکر ہمیشہ میرے ذہن میں موجود رہتی تھی۔","اگرچہ میں نے کچھ نہیں کہا، لیکن اس کی صحت کی فکر ہمیشہ میرے ذہن کے پیچھے تھی۔",Zehan ke kisi kone mein hona,"Agarchay main ne kuch nahi kaha, lekin us ki sehat ki fikar hamesha mere Zehan ke kisi kone mein thi.","Agarchay main ne kuch nahi kaha, lekin us ki sehat ki fikar hamesha mere zehan mein maujood rehti thi.","Agarchay main ne kuch nahi kaha, lekin us ki sehat ki fikar hamesha mere zehan ke peeche thi."
8,be back to square one,"After several failed attempts to fix the car, we were back to square one.",لوٹ کے بدھو گھر کو آئے,گاڑی کو ٹھیک کرنے کی کئی ناکام کوششوں کے بعد ہم لوٹ کے بدھو گھر کو آئے۔,گاڑی کو ٹھیک کرنے کی کئی ناکام کوششوں کے بعد ہم وہیں پہنچ گئے جہاں سے شروع کیا تھا۔,گاڑی کو ٹھیک کرنے کی کئی ناکام کوششوں کے بعد ہم دوبارہ چوک نمبر ایک پر واپس آگئے۔,Laut ke buddhu ghar ko aaye,Gaari ko theek karne ki kai nakaam koshishon ke baad hum Laut ke buddhu ghar ko aaye.,Gaari ko theek karne ki kai nakaam koshishon ke baad hum waheen pohanch gaye jahan se shuru kiya tha.,Gaari ko theek karne ki kai nakaam koshishon ke baad hum dobara chauk number aik par wapas agaye.
9,balance the books,"At the end of the month, it's important to balance the books to ensure there are no discrepancies.",حساب کتاب برابر کرنا,ماہ کے آخر میں یہ ضروری ہے کہ حساب کتاب برابر کرنا تاکہ کوئی گڑبڑ نہ ہو۔,ماہ کے آخر میں یہ ضروری ہے کہ تمام مالی حسابات کی جانچ کی جائے تاکہ کوئی فرق نہ رہ جائے۔,ماہ کے آخر میں یہ ضروری ہے کہ کتابوں کا توازن قائم کیا جائے تاکہ کوئی فرق نہ ہو۔,Hisaab kitaab barabar karna,Maah ke aakhir mein yeh zaroori hai ke Hisaab kitaab barabar karna taake koi garbar na ho.,Maah ke aakhir mein yeh zaroori hai ke tamaam maali hisaabaat ki jaanch ki jaaye taake koi farq na reh jaaye.,Maah ke aakhir mein yeh zaroori hai ke kitaabon ka tawazun qaaim kiya jaaye taake koi farq na ho.
10,bang/beat the drum,"During the campaign, she really knew how to bang the drum for her candidate.",ڈھول پیٹنا,"انتخابی مہم کے دوران، وہ واقعی جانتی تھی کہ اپنے امیدوار کے لیے ڈھول پیٹنا کیسے ہے۔","انتخابی مہم کے دوران، وہ اپنے امیدوار کی بھرپور حمایت کرنا خوب جانتی تھی۔","انتخابی مہم کے دوران، وہ واقعی جانتی تھی کہ اپنے امیدوار کے لیے ڈھول بجانا کیسے ہے۔",Dhindhora peetna,"Intikhabi muhim ke dauran, woh waqai jaanti thi ke apne umeedwar ke liye Dhindhora peetna kaise hai.","Intikhabi muhim ke dauran, woh apne umeedwar ki bharpoor himayat karna khoob jaanti thi.","Intikhabi muhim ke dauran, woh waqai jaanti thi ke apne umeedwar ke liye dhol bajana kaise hai."
11,be a wet blanket,Don't be a wet blanket at the party; everyone is trying to have fun.,رنگ میں بھنگ ڈالنا,"پارٹی میں رنگ میں بھنگ مت ڈالو، سب لوگ خوشی منا رہے ہیں۔","پارٹی میں اداس یا بور مت بنو، سب لوگ مزہ کر رہے ہیں۔","پارٹی میں گیلا کمبل مت بنو، سب لوگ مزہ کرنے کی کوشش کر رہے ہیں۔",Rang mein bhang daalna,"Party mein rang mein bhang mat daalo, sab log khushi mana rahe hain.","Party mein udaas ya bore mat bano, sab log maza kar rahe hain.","Party mein geela kambal mat bano, sab log maza karne ki koshish kar rahe hain."
12,be on cloud nine,"After receiving the good news about her promotion, she was on cloud nine.",خوشی سے پھولے نہیں سمانا,ترقی کی خوشخبری ملنے کے بعد وہ خوشی سے پھولے نہیں سمانی۔,ترقی کی خوشخبری ملنے کے بعد وہ بہت خوش تھی۔,ترقی کی خوشخبری ملنے کے بعد وہ نویں بادل پر تھی۔,khushi se phoolay nahi samaana,Taraqqi ki khushkhabri milne ke baad woh khushi se phoolay nahi samaani.,Taraqqi ki khushkhabri milne ke baad woh bohat khush thi.,Taraqqi ki khushkhabri milne ke baad woh nawe baadal par thi.
13,be the spitting image,"When I saw her son, I couldn't believe how much he was the spitting image of her.",ہوبہو شکل ہونا,جب میں نے اس کا بیٹا دیکھا تو یقین نہیں آیا کہ وہ اس کی ہوبہو شکل ہے۔,جب میں نے اس کا بیٹا دیکھا تو یقین نہیں آیا کہ وہ بالکل اپنی ماں جیسا لگتا ہے۔,جب میں نے اس کا بیٹا دیکھا تو یقین نہیں آیا کہ وہ اس کی تھوک کی تصویر ہے۔,Hubehu shakal hona,Jab maine uska beta dekha to yaqeen nahi aaya ke woh uski hubehu shakal hai.,Jab maine uska beta dekha to yaqeen nahi aaya ke woh bilkul apni maan jaisa lagta hai.,Jab maine uska beta dekha to yaqeen nahi aaya ke woh uski thook ki tasveer hai.
14,beat to the punch,She managed to beat to the punch by submitting her application a day early.,بازی مار لینا,اس نے ایک دن پہلے اپنی درخواست جمع کروا کر بازی مار لی۔,اس نے ایک دن پہلے اپنی درخواست جمع کروا کر دوسروں سے پہلے کام مکمل کر لیا۔,اس نے ایک دن پہلے اپنی درخواست جمع کروا کر مکے سے پہلے مارنے میں کامیابی حاصل کی۔,Baazi maar lena,Us ne aik din pehle apni darkhwast jama karwa kar Baazi maar li.,Us ne aik din pehle apni darkhwast jama karwa kar doosron se pehle kaam mukammal kar liya.,Us ne aik din pehle apni darkhwast jama karwa kar mukay se pehle maarne mein kamyabi hasil ki.
15,behind the times,His fashion sense is really behind the times; he still wears clothes from the 90s.,دقیانوسی,"اس کا فیشن سینس واقعی دقیانوسی ہے، وہ اب بھی نوّے کی دہائی کے کپڑے پہنتا ہے۔","اس کا فیشن سینس بہت پرانا ہے، وہ اب بھی نوّے کی دہائی کے کپڑے پہنتا ہے۔","اس کا فیشن سینس واقعی وقت کے پیچھے ہے، وہ اب بھی نوّے کی دہائی کے کپڑے پہنتا ہے۔",Daqianusi,"Us ka fashion sense waqai Daqianusi hai, woh ab bhi nawe ki dahai ke kapray pehnta hai.","Us ka fashion sense bohat purana hai, woh ab bhi nawe ki dahai ke kapray pehnta hai.","Us ka fashion sense waqai waqt ke peeche hai, woh ab bhi nawe ki dahai ke kapray pehnta hai."
